     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    175078,        99,         0,    1.00,chromobius,66bf1c5e6b6b87fff6271ef17741abd6a51271437dd33b48766d00f7cb6847dc,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.0002,""q"":43,""r"":28}","{""detection_events"":589632}"
    116758,       136,         0,    1.00,chromobius,3acf3862a9a22522af398cdecbc789d21936c66d4ff5d343b7c4c4d4c3545acf,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.0003,""q"":43,""r"":28}","{""detection_events"":587524}"
     69426,       249,         0,    1.00,chromobius,3a56bbfd4d35f1e93cc30825a540152cca408404e6a5e7162d7352d915beea2e,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.0005,""q"":43,""r"":28}","{""detection_events"":580572}"
     48912,       389,         0,    1.00,chromobius,b376e4432a0f87699222448ef583731c6cdc270e684c385643db9854b3180750,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.0007,""q"":43,""r"":28}","{""detection_events"":568617}"
     33124,       588,         0,    1.00,chromobius,de6bb0caa40e381edf526c9a058224baffee4dac64056f0ef4b8ef980cb9846d,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.001,""q"":43,""r"":28}","{""detection_events"":545629}"
     15548,      1193,         0,    1.02,chromobius,3e05c1ade98764c62bd0dc5233d5ad2258c267ebd5f585d8f21dc56d83cbdf24,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.002,""q"":43,""r"":28}","{""detection_events"":495318}"
      9848,      1686,         0,    1.02,chromobius,1fee345526867e79c8c57234d4b56406143cec1dbb93205c7a6c7c990b2617d5,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.003,""q"":43,""r"":28}","{""detection_events"":460973}"
      5474,      1998,         0,    1.02,chromobius,1768676ec211bae4240436470d4af097c4eea93d62f04c071f8e2ede0997d93c,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.005,""q"":43,""r"":28}","{""detection_events"":401878}"
      3962,      1841,         0,    1.07,chromobius,87a64f235f6323a8e02d90067b432fef0cbcf6a6bd726cd069236e50eee57e31,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.007,""q"":43,""r"":28}","{""detection_events"":383982}"
      2800,      1387,         0,    1.14,chromobius,6351d32ce60f9b6b6102bd69a7dc06870c38800e6cebdeba5f9b32e05089ec97,"{""c"":""midout_color_code_X"",""d"":7,""noise"":""uniform"",""p"":0.01,""q"":43,""r"":28}","{""detection_events"":358208}"
    155231,         1,         0,    1.00,chromobius,45d76a3020abee42e7832378e366501719f5e5447e67971f65e791970acceb67,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.0001,""q"":69,""r"":36}","{""detection_events"":569187}"
     77285,         1,         0,    1.01,chromobius,231a2de2a7f098c3999800a2bb6675506b9facb904f8430601905fbbea4ecc4f,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.0002,""q"":69,""r"":36}","{""detection_events"":565424}"
