     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    211250,      1000,         0,   328.8,chromobius,f46495cdac49d51cac14c0644f4bea348c2e9a8459491e6b6070662aa128d586,"{""c"":""midout_color_code_488_X"",""d"":17,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":177,""r"":68}",
    203876,      1005,         0,   306.5,chromobius,4e944f1a5ca3ecf8871ac8c068b88d790dd01071a6273f01026c340c0c6de4af,"{""c"":""midout_color_code_488_Z"",""d"":17,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":177,""r"":68}",
    203876,      1965,         0,   635.3,chromobius,4e944f1a5ca3ecf8871ac8c068b88d790dd01071a6273f01026c340c0c6de4af*f46495cdac49d51cac14c0644f4bea348c2e9a8459491e6b6070662aa128d586,"{""c"":""midout_color_code_488_XZ"",""d"":17,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":177,""r"":68}",
    340314,      1057,         0,   740.8,chromobius,0c4ca6f70f7026078c65f91eb68dd55a3e913684ce58c785025684c8ff57efbd,"{""c"":""midout_color_code_488_X"",""d"":19,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":217,""r"":76}",
    339552,      1028,         0,   734.3,chromobius,070e282476c30eae8caac1ef67b2169f9b84736ac614497489f7850f916fb1b3,"{""c"":""midout_color_code_488_Z"",""d"":19,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":217,""r"":76}",
    339552,      2079,         0,  1475.1,chromobius,070e282476c30eae8caac1ef67b2169f9b84736ac614497489f7850f916fb1b3*0c4ca6f70f7026078c65f91eb68dd55a3e913684ce58c785025684c8ff57efbd,"{""c"":""midout_color_code_488_XZ"",""d"":19,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":217,""r"":76}",
     92986,      1098,         0,   0.189,chromobius,a83d902b1fb34dd83f53b20039159a7cc1c4a9b90803f58919022277490c1987,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0001,""q"":9,""r"":12}",
     95444,      1129,         0,   0.156,chromobius,3a828d8b47b727807f8191dc6c7fd5bc91d3aeac44604a267f7c2309ccad7d04,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0001,""q"":9,""r"":12}",
     92986,      2185,         0,   0.345,chromobius,a83d902b1fb34dd83f53b20039159a7cc1c4a9b90803f58919022277490c1987*3a828d8b47b727807f8191dc6c7fd5bc91d3aeac44604a267f7c2309ccad7d04,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0001,""q"":9,""r"":12}",
     41758,      1004,         0,   0.142,chromobius,d114b1ff54242d2c91e65f826b3a937921bbb2c5e00119c180785e3d399b096c,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0002,""q"":9,""r"":12}",
     45638,      1000,         0,   0.106,chromobius,adb35de2faaaacfe7af5c31d74fbc08602044c7b6ba5fb8991e26e783625c1c5,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0002,""q"":9,""r"":12}",
     41758,      1897,         0,   0.248,chromobius,d114b1ff54242d2c91e65f826b3a937921bbb2c5e00119c180785e3d399b096c*adb35de2faaaacfe7af5c31d74fbc08602044c7b6ba5fb8991e26e783625c1c5,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0002,""q"":9,""r"":12}",
     27255,      1006,         0,   0.091,chromobius,e3f6114952b84b36ec43dea6cb8504e39752cf44c93637a4983dd32c04529707,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0003,""q"":9,""r"":12}",
     28534,      1041,         0,   0.087,chromobius,1d8e25a620b54ac781cda629d85303cb176e68d782dc1ce931d26a86603b1016,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0003,""q"":9,""r"":12}",
     27255,      1964,         0,   0.178,chromobius,e3f6114952b84b36ec43dea6cb8504e39752cf44c93637a4983dd32c04529707*1d8e25a620b54ac781cda629d85303cb176e68d782dc1ce931d26a86603b1016,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0003,""q"":9,""r"":12}",
     17030,      1004,         0,   0.154,chromobius,470f06088a6b23c02a6f1aa05e6724f110fedc8ae2dc504ec423ee68d18455ef,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0005,""q"":9,""r"":12}",
